개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,한실수,양실수,욕실수,발한실여부,좌석수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,세탁기수,여성종사자수,남성종사자수,회수건조수,침대수,다중이용업소여부
3050000,3050000-202-2023-00001,2023-04-21,,1,영업/정상,1,영업,,,,,,66.37,130-876,서울특별시 동대문구 휘경동 187-20,"서울특별시 동대문구 이문로 58, 2층 (휘경동)",2443,뽀얀세신샵,2023-04-21 16:54,I,03:00.0,목욕장업 기타,205035.3375,454454.0867,,,,,,,,,,,,,,,,,,,,,,
3220000,3220000-202-1987-00204,1987-12-07,,1,영업/정상,1,영업,,,,,02 5413111,296.18,135-952,서울특별시 강남구 청담동 53-7,서울특별시 강남구 영동대로 737 (청담동),6071,호텔리베라사우나(남),2023-02-13 16:43,U,05:00.0,공동탕업,204714.7585,446852.0784,,,,,,,,,,,,,,,,,,,,,,
3210000,3210000-202-2003-00013,2003-11-10,,1,영업/정상,1,영업,,,,,,293.63,137-809,"서울특별시 서초구 반포동 724-38 지상2,3층","서울특별시 서초구 강남대로85길 16 (반포동,지상2,3층)",6536,반포휘트니스사우나,2023-04-20 16:07,U,03:00.0,공동탕업,201856.3393,445026.1235,,,,,,,,,,,,,,,,,,,,,,
3220000,3220000-202-2011-00009,2011-07-07,,1,영업/정상,1,영업,,,,,02  34847800,988.34,135-502,서울특별시 강남구 대치동 1002 코스모타워 지하2층,"서울특별시 강남구 영동대로 416 (대치동,코스모타워 지하2층)",6176,스포테라,2023-04-26 10:39,U,08:00.0,목욕장업 기타,205710.1701,444934.2832,,,,,,,,,,,,,,,,,,,,,,
3230000,3230000-202-2022-00001,2022-03-29,,1,영업/정상,1,영업,,,,,,316.9,138-721,서울특별시 송파구 잠실동 40-1 롯데월드,"서울특별시 송파구 올림픽로 240, 5층 (잠실동)",5554,롯데호텔 여성사우나,2023-02-17 14:49,U,09:00.0,목욕장업 기타,208589.3633,445455.9041,,,,,,,,,,,,,,,,,,,,,,
3110000,3110000-202-2001-00255,2001-02-02,,1,영업/정상,1,영업,,,,,02 3839900,788.79,122-900,서울특별시 은평구 역촌동 50-24,서울특별시 은평구 갈현로 100 (역촌동),3415,은하수사우나,2023-04-26 11:53,U,08:00.0,공동탕업,192056.3454,456049.869,,,,,,,,,,,,,,,,,,,,,,
3070000,3070000-202-2003-00003,2003-02-20,,3,폐업,2,폐업,2023-05-11,,,,02 9125522,2062.08,136-826,서울특별시 성북구 장위동 118-2,서울특별시 성북구 장위로 189 (장위동),2764,우리랜드,2023-05-11 9:42,U,03:00.0,공동탕업+찜질시설서비스영업,204863.8427,457160.1663,,,,,,,,,,,,,,,,,,,,,,
3040000,3040000-202-1981-00119,1981-02-05,,1,영업/정상,1,영업,,,,,02   4504425,286.13,143-800,서울특별시 광진구 광장동 21-0,서울특별시 광진구 워커힐로 177 (광장동),4963,헬스사우나,2023-05-04 10:24,U,07:00.0,목욕장업 기타,209766.9736,450385.0007,,,,,,,,,,,,,,,,,,,,,,
3010000,3010000-202-2003-00015,2003-06-17,,3,폐업,2,폐업,2023-05-12,,,,7255678,598,100-101,서울특별시 중구 태평로1가 29-2 (호텔3층),"서울특별시 중구 세종대로22길 12 (태평로1가,(호텔3층))",4520,뉴국제호텔사우나,2023-05-12 16:12,U,04:00.0,한증막업,197984.6447,451739.9477,,,,,,,,,,,,,,,,,,,,,,
3220000,3220000-202-2023-00001,2023-07-13,,1,영업/정상,1,영업,,,,,,103.18,135-928,서울특별시 강남구 역삼동 774-43,"서울특별시 강남구 도곡로37길 45, 지하1층 (역삼동)",6226,수양,2023-07-13 14:47,I,05:00.0,공동탕업,203848.2493,443834.3105,,,,,,,,,,,,,,,,,,,,,,
3190000,3190000-202-1999-00216,19990123,,3,폐업,2,폐업,20220422,,,,02 8142210,966.22,156813,서울특별시 동작구 노량진동 330 삼익주상복합(아),"서울특별시 동작구 만양로 84 (노량진동,삼익주상복합(아))",6914,삼익사우나,2022-04-22 9:53,U,04:00.0,공동탕업+찜질시설서비스영업,195079.2655,445413.2884,,,,,,,,,,,,,,,,,,,,,,
3190000,3190000-202-2005-00003,2005-09-15,,3,폐업,2,폐업,2023-07-18,,,,,424.44,156-807,서울특별시 동작구 대방동 44-5,서울특별시 동작구 등용로12길 14 (대방동),6932,영화대중탕,2023-07-18 16:26,U,00:00.0,공동탕업,193992.2534,445331.9542,,,,,,,,,,,,,,,,,,,,,,
3230000,3230000-202-2003-00017,20030227,,3,폐업,2,폐업,20221007,,,,02 4166580,"1,786.62",138828,서울특별시 송파구 방이동 57-1,서울특별시 송파구 올림픽로34길 21 (방이동),5547,올림픽한증막,2022-10-07 8:48,U,09:00.0,공동탕업,209765.4683,445861.1427,,,,,,,,,,,,,,,,,,,,,,
3080000,3080000-202-1973-00301,1973-10-12,,1,영업/정상,1,영업,,,,,209897398,306.76,142-804,서울특별시 강북구 미아동 52-51,서울특별시 강북구 월계로7길 39-10 (미아동),1222,해수사우나,2023-07-19 15:25,U,01:00.0,공동탕업,202872.9572,456676.0305,,,,,,,,,,,,,,,,,,,,,,
3150000,3150000-202-2001-00005,20011221,,1,영업/정상,1,영업,,,,,236630587,"1,192.11",157030,"서울특별시 강서구 등촌동 641-11 ,13,14","서울특별시 강서구 공항대로45길 44 (등촌동,,13,14)",7569,백두산불가마사우나,2022-11-15 13:39,U,07:00.0,공동탕업+찜질시설서비스영업,187197.4688,450519.9994,,,,,,,,,,,,,,,,,,,,,,
3100000,3100000-202-2019-00001,2019-01-04,,1,영업/정상,1,영업,,,,,02 9527184,379.26,139-865,서울특별시 노원구 중계동 514-3 목련아파트상가 지하1층 30호,"서울특별시 노원구 노원로 333, 목련아파트상가 지층 30호 (중계동)",1786,행복나눔목욕탕,2023-07-26 10:01,U,08:00.0,공동탕업,206020.8912,460461.895,,,,,,,,,,,,,,,,,,,,,,
3050000,3050000-202-1990-00543,19900918,,3,폐업,2,폐업,20220407,,,,02 9694160,589.23,130825,서울특별시 동대문구 이문동 77-13,서울특별시 동대문구 휘경로 39 (이문동),2427,낙원탕,2022-04-07 13:33,U,09:00.0,공동탕업,205607.8547,454728.4574,,,,,,,,,,,,,,,,,,,,,,
3080000,3080000-202-2015-00002,2015-07-21,,1,영업/정상,1,영업,,,,,02  995 8255,1372,142-878,서울특별시 강북구 수유동 229-49 지하1층,"서울특별시 강북구 노해로8길 22, 지하1층 (수유동)",1073,나온힐링대중사우나,2023-07-31 15:23,U,02:00.0,공동탕업+찜질시설서비스영업,202071.3105,459514.7113,,,,,,,,,,,,,,,,,,,,,,
3180000,3180000-202-1982-00496,19821221,,3,폐업,2,폐업,20220422,,,,02 7840832,"1,155.00",150870,서울특별시 영등포구 여의도동 13-3 맨하탄호텔 지하,"서울특별시 영등포구 국회대로76길 16 (여의도동,맨하탄호텔 지하)",7238,맨하탄호텔사우나,2022-04-22 16:13,U,04:00.0,공동탕업,193019.6458,447560.1623,,,,,,,,,,,,,,,,,,,,,,
3010000,3010000-202-2010-00003,2010-11-22,,1,영업/정상,1,영업,,,,,221184400,3878.2,100-851,서울특별시 중구 을지로6가 18-21 굿모닝시티 지하3층 B301호,"서울특별시 중구 장충단로 247 (을지로6가, 굿모닝시티 지하3층 B301호)",4564,(주)스파렉스,2023-07-31 11:00,U,02:00.0,공동탕업,200573.6413,451621.0365,,,,,,,,,,,,,,,,,,,,,,
3120000,3120000-202-2010-00001,20101011,,1,영업/정상,1,영업,,,,,02 3122521,296.69,120030,"서울특별시 서대문구 합동 116 (SK 리쳄블 B101-1,2,3,4","서울특별시 서대문구 서소문로 45 (합동,(SK 리쳄블 B101-1,2,3,4)",3741,미소사우나,2022-10-14 11:13,U,06:00.0,공동탕업,196945.4546,451003.1627,,,,,,,,,,,,,,,,,,,,,,
3080000,3080000-202-2007-00001,2007-11-28,,1,영업/정상,1,영업,,,,,02  980 1584,1570.74,142-874,서울특별시 강북구 수유동 50-75 외3필지 지하1층(장터마을1길 9),서울특별시 강북구 도봉로71가길 11 (수유동),1114,대림불가마사우나,2023-07-31 15:24,U,02:00.0,찜질시설서비스영업,201892.1145,458840.8466,,,,,,,,,,,,,,,,,,,,,,
3100000,3100000-202-2003-00001,20030515,,1,영업/정상,1,영업,,,,,02 9375808,"1,249.36",139859,서울특별시 노원구 중계동 434-1,서울특별시 노원구 덕릉로 669 (중계동),1699,삿갓봉목욕탕,2022-10-17 14:25,U,09:00.0,공동탕업+찜질시설서비스영업,206511.6739,461668.7844,,,,,,,,,,,,,,,,,,,,,,
3100000,3100000-202-1994-00097,19940818,,1,영업/정상,1,영업,,,,,209751942,495,139840,서울특별시 노원구 월계동 17,서울특별시 노원구 마들로 59 (월계동),1911,노원탕,2022-10-17 14:25,U,09:00.0,공동탕업,205903.3186,457661.6697,,,,,,,,,,,,,,,,,,,,,,
3230000,3230000-202-2016-00003,20161107,,3,폐업,2,폐업,20220330,,,,02  64252000,183,138805,서울특별시 송파구 가락동 98-5,"서울특별시 송파구 송파대로28길 5, 지하1층 (가락동)",5719,가락 사우나,2022-03-30 15:35,U,01:00.0,공동탕업,210429.1571,443526.6489,,,,,,,,,,,,,,,,,,,,,,
3080000,3080000-202-2005-00001,2005-11-21,,1,영업/정상,1,영업,,,,,02 9890130,1113.63,142-821,서울특별시 강북구 미아동 838-4,서울특별시 강북구 솔샘로 223 (미아동),1188,삼각산사우나,2023-07-31 15:28,U,02:00.0,찜질시설서비스영업,201486.8846,457550.9453,,,,,,,,,,,,,,,,,,,,,,
3070000,3070000-202-2008-00002,2008-08-12,,1,영업/정상,1,영업,,,,,02  912 4770,712.37,136-864,"서울특별시 성북구 종암동 104-1 SK상가(지하 1,2층)","서울특별시 성북구 종암로24가길 53 (종암동,SK상가(지하 1,2층))",2798,뉴 SK사우나,2023-05-15 17:03,U,07:00.0,공동탕업,203196.801,455429.8463,,,,,,,,,,,,,,,,,,,,,,
3110000,3110000-202-1995-00175,1995-09-22,,3,폐업,2,폐업,2023-05-12,,,,02 3587255,384.32,122-900,서울특별시 은평구 역촌동 54-8,서울특별시 은평구 갈현로 81 (역촌동),3431,그린목욕탕,2023-05-15 14:33,U,07:00.0,공동탕업,192009.5439,455896.8323,,,,,,,,,,,,,,,,,,,,,,
3150000,3150000-202-2020-00002,2020-02-20,,1,영업/정상,1,영업,,,,,236617070,318.34,157-210,서울특별시 강서구 마곡동 774-1 B104호,"서울특별시 강서구 공항대로 209, 지하1층 B104~107호 (마곡동)",7802,엘스타휘트니스,2023-05-31 15:03,U,02:00.0,공동탕업+찜질시설서비스영업,184988.4384,450841.1044,,,,,,,,,,,,,,,,,,,,,,
3080000,3080000-202-2001-00012,2001-09-28,,3,폐업,2,폐업,2023-06-01,,,,02 9871220,924,142-816,서울특별시 강북구 미아동 703-13 유유빌딩 지하1층,"서울특별시 강북구 삼양로 184, 지하1층 (미아동, 유유빌딩)",1174,금강산보석사우나,2023-05-31 16:25,U,02:00.0,공동탕업,201807.8389,457546.4013,,,,,,,,,,,,,,,,,,,,,,
3150000,3150000-202-2023-00001,2023-06-09,,1,영업/정상,1,영업,,,,,,67.41,157-210,서울특별시 강서구 마곡동 757-2 마곡나루역프라이빗타워Ⅱ 312호,"서울특별시 강서구 마곡중앙로 171, 마곡나루역프라이빗타워Ⅱ 3층 312호 (마곡동)",7788,스파 산,2023-06-09 9:35,I,01:00.0,목욕장업 기타,184715.4518,451876.4807,,,,,,,,,,,,,,,,,,,,,,
3130000,3130000-202-2009-00001,2009-10-21,,3,폐업,2,폐업,2023-06-08,,,,02 3076212,299.04,121-850,서울특별시 마포구 성산동 595 도시개발공사성산아파트,"서울특별시 마포구 월드컵로 205, 도시개발공사성산아파트 상가동 지하1층 24호 (성산동)",3953,마포복지목욕탕,2023-06-13 10:10,U,05:00.0,공동탕업,191197.3579,451340.1392,,,,,,,,,,,,,,,,,,,,,,
3140000,3140000-202-2004-00001,2004-01-20,,3,폐업,2,폐업,2023-06-13,,,,226012112,2255.14,158-827,"서울특별시 양천구 신월동 128 신월프라자 지하1층(102,169,170),2층(201호)","서울특별시 양천구 곰달래로5길 17 (신월동,신월프라자 지하1층(102,169,170),2층(201호))",7921,신목동사우나,2023-06-13 13:17,U,05:00.0,공동탕업+찜질시설서비스영업,185222.7324,447665.5457,,,,,,,,,,,,,,,,,,,,,,
3200000,3200000-202-1997-00509,1997-04-18,,3,폐업,2,폐업,2023-06-13,,,,232811118,608.79,151-869,서울특별시 관악구 신림동 1580-18,서울특별시 관악구 남부순환로168길 14 (신림동),8773,덕원 헬스 사우나,2023-06-13 10:22,U,05:00.0,공동탕업,193193.8564,442229.3152,,,,,,,,,,,,,,,,,,,,,,
3100000,3100000-202-2018-00001,2018-12-03,,1,영업/정상,1,영업,,,,,02 9710999,4299.5,139-872,서울특별시 노원구 하계동 251-7 서울온천,"서울특별시 노원구 노원로 247, 서울온천 지하2,3층 (하계동)",1791,서울온천,2023-06-21 14:43,U,03:00.0,공동탕업+찜질시설서비스영업,206406.4831,459684.7002,,,,,,,,,,,,,,,,,,,,,,
3170000,3170000-202-2023-00001,2023-06-13,,1,영업/정상,1,영업,,,,,,15,153-854,서울특별시 금천구 시흥동 799-30,"서울특별시 금천구 독산로40길 49, 3층 (시흥동)",8566,열매점핑허브다이어트,2023-06-29 16:25,U,01:00.0,찜질시설서비스영업,191716.3182,439877.1893,,,,,,,,,,,,,,,,,,,,,,
3220000,3220000-202-2010-00012,2010-09-08,,3,폐업,2,폐업,2023-06-30,,,,234433233,583.8,135-829,서울특별시 강남구 논현동 216-18 지하3층,"서울특별시 강남구 논현로 644 (논현동,지하3층)",6106,수정여성불한증막,2023-06-30 16:15,U,02:00.0,한증막업,202811.0168,445448.913,,,,,,,,,,,,,,,,,,,,,,
3020000,3020000-202-1998-00282,1998-09-19,,1,영업/정상,1,영업,,,,,7998112,1236.36,140-893,서울특별시 용산구 한남동 747-7,서울특별시 용산구 소월로 322 (한남동),4347,그랜드하얏트서울,2023-06-30 11:07,U,02:00.0,공동탕업,199737.0974,448587.7533,,,,,,,,,,,,,,,,,,,,,,
3150000,3150000-202-2023-00002,2023-07-04,,1,영업/정상,1,영업,,,,,,85.2,157-210,"서울특별시 강서구 마곡동 798-6 류마타워Ⅱ, 308, 309호","서울특별시 강서구 마곡중앙로 59-17, 류마타워Ⅱ 3층 308, 309호 (마곡동)",7807,더퓨어,2023-07-04 11:04,I,07:00.0,목욕장업 기타,184448.5423,450753.1346,,,,,,,,,,,,,,,,,,,,,,
3080000,3080000-202-2004-00002,2004-06-16,,1,영업/정상,1,영업,,,,,02 9876920,639.11,142-805,서울특별시 강북구 미아동 60-10,서울특별시 강북구 도봉로 45 (미아동),1211,금강산탕,2023-07-31 15:24,U,02:00.0,찜질시설서비스영업,202518.5377,456819.727,,,,,,,,,,,,,,,,,,,,,,
3080000,3080000-202-1998-00325,1998-09-18,,1,영업/정상,1,영업,,,,,02   9896433,768.43,142-803,서울특별시 강북구 미아동 189-14,서울특별시 강북구 도봉로 260 (미아동),1132,운산사우나,2023-07-31 15:22,U,02:00.0,공동탕업,202092.1818,458818.0341,,,,,,,,,,,,,,,,,,,,,,
3080000,3080000-202-1997-00322,1997-08-21,,1,영업/정상,1,영업,,,,,02 9084480,329.05,142-870,서울특별시 강북구 수유동 129-10,서울특별시 강북구 삼양로92길 23 (수유동),1079,우영탕,2023-07-31 14:09,U,02:00.0,공동탕업,201551.4233,459361.5963,,,,,,,,,,,,,,,,,,,,,,
3150000,3150000-202-1969-00023,1969-09-29,,1,영업/정상,1,영업,,,,,226944096,173,157-884,서울특별시 강서구 화곡동 362-44,"서울특별시 강서구 월정로30길 50, 1층 (화곡동)",7767,대호,2023-07-31 17:07,U,02:00.0,공동탕업,185672.1082,448044.7506,,,,,,,,,,,,,,,,,,,,,,
3020000,3020000-202-2007-00001,20070125,,1,영업/정상,1,영업,,,,,02  705 0022,386.38,140879,서울특별시 용산구 한강로3가 16-85 지에스 한강에클라트,"서울특별시 용산구 이촌로 1 (한강로3가, 지에스 한강에클라트)",4373,원짐,2022-04-25 13:59,U,07:00.0,공동탕업,196005.8364,447699.7588,,,,,,,,,,,,,,,,,,,,,,
3110000,3110000-202-2023-00001,2023-08-02,,1,영업/정상,1,영업,,,,,,196,122-907,서울특별시 은평구 응암동 87-10,"서울특별시 은평구 은평로 137, B1호 (응암동)",3460,슬릭,2023-08-02 10:10,I,04:00.0,목욕장업 기타,193124.7994,455390.9373,,,,,,,,,,,,,,,,,,,,,,
3200000,3200000-202-2001-00524,2001-12-14,,1,영업/정상,1,영업,,,,,02 5853395,587,151-800,서울특별시 관악구 남현동 1063-6,서울특별시 관악구 남현1길 38-10 (남현동),8806,교통문화교육원사우나실,2023-08-07 11:05,U,09:00.0,공동탕업,198097.1353,441468.0179,,,,,,,,,,,,,,,,,,,,,,
3230000,3230000-202-2003-00061,2003-02-27,,1,영업/정상,1,영업,,,,,02  05566600,3000,138-827,"서울특별시 송파구 방이동 39-2 지하1,2층","서울특별시 송파구 오금로11길 33 (방이동,지하1,2층)",5543,잠실수양 불한증막,2023-08-09 14:28,U,01:00.0,공동탕업+찜질시설서비스영업,209708.1279,445937.5435,,,,,,,,,,,,,,,,,,,,,,
3010000,3010000-202-1987-00241,19871117,,3,폐업,2,폐업,20051219,,,,02 7536542,307.33,100110,서울특별시 중구 서소문동 57-1번지 ,,,대원실업,2005-12-19 0:00,I,59:59.0,공동탕업,,,공동탕업,,,,,,,,,,N,,,,,,,,,,,N
3040000,3040000-202-2020-00002,20201228,,1,영업/정상,1,영업,,,,,02  456 4455,220,143723,서울특별시 광진구 구의동 199-18 구의동삼성쉐르빌,"서울특별시 광진구 구의강변로 106, 지하층 B113호 (구의동, 구의동삼성쉐르빌)",5117,(주)비터스윗코리아,2022-04-21 10:24,U,03:00.0,공동탕업,208310.3723,448631.4376,,,,,,,,,,,,,,,,,,,,,,
3000000,3000000-202-1981-00494,19810828,,3,폐업,2,폐업,20100527,,,,02 7351570,187.27,110091,서울특별시 종로구 행촌동 1-50번지 ,,,독립문한증원,2003-12-29 0:00,I,59:59.0,한증막업,196721.918,452266.7327,한증막업,,,2,2,1,1,,,,N,,,,,,,,,,,N
3100000,3100000-202-1997-00108,19970103,,1,영업/정상,1,영업,,,,,02 9528300,547.97,139860,서울특별시 노원구 중계동 360-5,서울특별시 노원구 중계로 219 (중계동),1743,법성대중사우나,2022-10-21 15:03,U,03:00.0,공동탕업,206608.291,460904.5307,,,,,,,,,,,,,,,,,,,,,,
3000000,3000000-202-1987-00446,19870822,,3,폐업,2,폐업,19980216,,,,02   00000,457.43,110052,서울특별시 종로구 적선동 158-1번지 ,,,옥선탕,2001-09-29 0:00,I,59:59.0,공동탕업,,,공동탕업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N
3010000,3010000-202-1971-00337,19711206,,3,폐업,2,폐업,20221026,,,,222388198,349.45,100818,서울특별시 중구 신당동 67-138,서울특별시 중구 퇴계로88길 55 (신당동),4583,진양목욕탕,2022-10-26 16:19,U,08:00.0,공동탕업,201681.9237,451222.5499,,,,,,,,,,,,,,,,,,,,,,
3010000,3010000-202-2007-00004,2007-07-06,,3,폐업,2,폐업,2023-02-17,,,,02779 9988,1770.31,100-130,서울특별시 중구 순화동 151 (지하2층 201호),"서울특별시 중구 칠패로 27 (순화동,(지하2층 201호))",4511,마이트리스파,2023-02-17 9:31,U,09:00.0,공동탕업,197462.1988,450878.2118,,,,,,,,,,,,,,,,,,,,,,
3060000,3060000-202-2004-00003,20040707,,1,영업/정상,1,영업,,,,,02 4362020,539.74,131878,서울특별시 중랑구 중화동 207-37 (1층),"서울특별시 중랑구 중랑역로 4 (중화동,(1층))",2117,우정대중목욕탕,2022-11-01 15:56,U,03:00.0,공동탕업,206764.3307,454711.7392,,,,,,,,,,,,,,,,,,,,,,
3010000,3010000-202-1987-00310,19870209,,1,영업/정상,1,영업,,,,,222771141,776.54,100400,서울특별시 중구 쌍림동 240번지 ,서울특별시 중구 퇴계로56길 18 (쌍림동),4615,영빈사우나,2017-10-20 10:26,I,59:59.0,공동탕업,200419.8322,451197.2911,공동탕업,7,0,,,1,1,0,0,5,N,0,,,,자가,0,,,0,0,N
3010000,3010000-202-1997-00253,1997-12-05,,3,폐업,2,폐업,2022-12-31,,,,02 3173306,598.99,100-802,서울특별시 중구 남대문로5가 395,서울특별시 중구 소월로 50 (남대문로5가),4637,(주)씨디엘호텔코리아,2023-02-14 19:31,U,06:00.0,목욕장업 기타,197762.5015,450337.5806,,,,,,,,,,,,,,,,,,,,,,
3010000,3010000-202-2002-00007,20020618,,3,폐업,2,폐업,20041012,,,,22320546,0,100835,서울특별시 중구 신당동 432-2241번지 ,,,백조장,2004-03-02 0:00,I,59:59.0,공동탕업,200566.0023,449646.6396,공동탕업,,,,,,,,,,N,,,,,,,,,,,N
3150000,3150000-202-2021-00001,20210325,,1,영업/정상,1,영업,,,,,236637832,425.7,157862,서울특별시 강서구 염창동 259-2 나이아가라관광호텔 지하2층,"서울특별시 강서구 양천로 743, 나이아가라관광호텔 지하2층 (염창동)",7539,ONE(원),2022-11-07 16:28,U,09:00.0,공동탕업,189200.1477,449654.951,,,,,,,,,,,,,,,,,,,,,,
3150000,3150000-202-2011-00001,20110214,,1,영업/정상,1,영업,,,,,220650011,"4,641.83",157927,서울특별시 강서구 화곡동 1095,서울특별시 강서구 화곡로 347 (화곡동),7649,그랜드아쿠아24&휘트니스,2022-11-08 10:16,U,00:00.0,공동탕업+찜질시설서비스영업,186786.6225,450297.7027,,,,,,,,,,,,,,,,,,,,,,
